from_node_id,to_node_id,relation_name,browser,source,time
1709,4660,LIKES,Safari,mobile,2023-07-22 19:03:46
1328,4347,LIKES,Chrome,web,2021-08-31 12:23:09
31,4016,LIKES,Safari,mobile,2021-07-03 05:11:09
340,4242,LIKES,Safari,web,2020-11-02 10:55:17
132,4593,LIKES,Chrome,mobile,2023-08-12 06:55:46
521,4192,LIKES,Chrome,web,2023-01-25 00:59:06
2850,4012,LIKES,Safari,web,2023-09-08 02:37:26
2679,4580,LIKES,Chrome,web,2020-08-11 09:27:18
1004,4147,LIKES,Chrome,web,2021-09-18 00:46:56
290,4517,LIKES,Safari,web,2020-11-26 13:10:25
2420,4269,LIKES,Safari,web,2021-10-19 00:21:12
1977,4023,LIKES,Safari,mobile,2020-05-21 07:16:40
547,4035,LIKES,Safari,mobile,2022-08-11 08:23:28
2791,4626,LIKES,Safari,web,2020-08-18 14:27:54
