from_node_id,to_node_id,relation_name,time_stamp,writter_is_active,is_pinned
4316,3379,BELONGS_TO,2022-10-31 17:18:22,False,True
4587,3800,BELONGS_TO,2022-02-03 07:57:54,True,True
4279,3443,BELONGS_TO,2022-05-24 08:54:25,True,False
4557,3977,BELONGS_TO,2023-10-11 12:03:58,False,False
4059,3761,BELONGS_TO,2023-01-08 10:35:35,False,False
4365,3845,BELONGS_TO,2020-10-03 06:50:51,True,False
4114,3769,BELONGS_TO,2021-10-14 14:49:22,False,False
4272,3870,BELONGS_TO,2022-10-20 01:24:08,True,True
4700,3343,BELONGS_TO,2023-04-23 16:15:59,False,True
4684,3428,BELONGS_TO,2020-01-15 05:55:33,False,True
4678,3888,BELONGS_TO,2021-08-18 21:00:00,False,False
4624,3389,BELONGS_TO,2022-06-05 08:54:28,False,True
4490,3764,BELONGS_TO,2022-04-30 16:31:17,True,False
4069,3561,BELONGS_TO,2021-10-16 23:29:18,True,False
4296,3284,BELONGS_TO,2023-04-22 04:36:37,False,False
4264,3364,BELONGS_TO,2021-09-19 10:34:13,False,False
4698,3685,BELONGS_TO,2022-11-26 00:00:54,False,True
4165,3942,BELONGS_TO,2023-04-02 13:06:33,False,True
4602,3604,BELONGS_TO,2022-09-15 14:47:53,False,True
4391,3886,BELONGS_TO,2021-08-28 03:57:26,True,False
4682,3682,BELONGS_TO,2020-08-27 13:47:23,False,False
4288,3428,BELONGS_TO,2021-09-06 20:26:13,True,False
4542,3475,BELONGS_TO,2022-05-31 14:33:23,False,True
4190,3180,BELONGS_TO,2023-08-14 18:24:46,True,True
4296,3596,BELONGS_TO,2022-12-31 07:11:11,False,False
4225,3418,BELONGS_TO,2022-03-30 17:47:55,True,True
4542,3979,BELONGS_TO,2023-06-20 01:21:29,False,False
4187,3027,BELONGS_TO,2022-08-10 07:37:14,True,False
4556,3977,BELONGS_TO,2022-11-08 05:31:08,False,False
4156,3459,BELONGS_TO,2023-11-11 00:52:39,False,True
4136,3847,BELONGS_TO,2023-08-28 10:43:39,True,False
4346,3239,BELONGS_TO,2022-02-02 07:43:38,False,False
4356,3312,BELONGS_TO,2023-11-20 23:33:59,True,True
4065,3154,BELONGS_TO,2020-05-25 13:12:33,False,False
4024,3636,BELONGS_TO,2020-03-12 20:03:27,True,False
4409,3065,BELONGS_TO,2021-01-11 21:55:03,False,False
4203,3143,BELONGS_TO,2021-07-07 03:11:38,True,True
4456,3184,BELONGS_TO,2021-05-15 05:35:15,False,False
4602,3341,BELONGS_TO,2020-02-17 12:59:03,False,False
4214,3264,BELONGS_TO,2023-12-22 18:27:01,True,True
4388,3773,BELONGS_TO,2020-08-15 12:40:41,False,False
4552,3242,BELONGS_TO,2020-12-30 05:37:42,True,False
4296,3897,BELONGS_TO,2020-08-12 18:54:13,False,False
4654,3705,BELONGS_TO,2022-07-25 05:14:20,True,False
4661,3906,BELONGS_TO,2022-07-24 22:50:04,True,True
4503,3896,BELONGS_TO,2021-12-28 01:02:46,True,True
4317,3673,BELONGS_TO,2022-11-09 12:20:09,False,True
4141,3125,BELONGS_TO,2023-01-08 16:50:04,True,True
4612,3556,BELONGS_TO,2022-05-04 12:10:17,True,True
4121,3284,BELONGS_TO,2023-02-25 20:21:24,False,True
4648,3155,BELONGS_TO,2020-02-09 08:19:14,False,True
4594,3226,BELONGS_TO,2021-01-12 01:52:08,True,True
4331,3511,BELONGS_TO,2023-10-09 21:08:38,True,True
4435,3358,BELONGS_TO,2020-12-21 10:31:57,False,False
4230,3094,BELONGS_TO,2023-08-23 04:09:45,True,True
4037,3608,BELONGS_TO,2021-04-22 11:17:00,False,True
4225,3392,BELONGS_TO,2022-02-03 00:40:47,False,True
4586,3051,BELONGS_TO,2020-06-10 03:02:46,True,True
4314,3421,BELONGS_TO,2021-03-16 07:59:56,True,False
4657,3272,BELONGS_TO,2022-06-13 03:36:30,True,True
4597,3496,BELONGS_TO,2020-10-09 06:49:16,False,True
4274,3565,BELONGS_TO,2023-09-13 10:54:06,False,True
4687,3425,BELONGS_TO,2022-06-15 17:42:45,False,False
4410,3028,BELONGS_TO,2023-06-29 12:20:17,False,True
4006,3736,BELONGS_TO,2022-07-10 03:21:53,True,True
